Date,Time,Commands,Supply V,Supply I,Restart,Clamp  pos,Clamp  speed,Clamp  I,Clamp  status,Clamp  error,Cutter Counts,Cutter speed,Cutter I,Cutter status,Cutter error,Tip Diameter,Radial speed,Radial I,Radial status,Radial error,Head Rotation,Rotate speed,Rotate I,Rotate status,Rotate error,Temp int,Temp ext,Noise,Head V,30 V,Stretch,Torque,Clamp SPI errors,Cutter SPI errors,Radial SPI errors,Rotate SPI errors,Debug
01/11/2012,10:26:52,,328,166,,,,,0,,8448,3000,91,16,,,,,0,,,,,0,,,,69,287,31,,,,,,,Test cutter speed = 3200
01/11/2012,10:26:53,,321,160,,,,,0,,8448,2800,82,16,,,,,0,,,,,0,,,,69,294,30,,,,,,1,Test cutter speed = 3000
01/11/2012,10:26:53,,330,156,,,,,0,,8512,2600,73,16,,,,,0,,,,,0,,,,70,298,30,,,,,,,Test cutter speed = 2800
01/11/2012,10:26:54,,318,155,,,,,0,,8512,2600,73,16,,,,,0,,,,,0,,27,,69,294,30,,,,,,,Test cutter speed = 2600
01/11/2012,10:26:54,,321,153,,,,,0,,8576,2600,73,16,,,,,0,,,,,0,,,,69,298,30,,,,,,,Test cutter speed = 2600
01/11/2012,10:26:55,,321,146,,,,,0,,8576,2400,73,16,,,,,0,,,,,0,,,21,70,302,30,,,,,,,Test cutter speed = 2600
01/11/2012,10:26:56,,328,139,,,,,0,,8640,2200,64,16,,,,,0,,,,,0,,,,69,302,30,,,,,,,Test cutter speed = 2400
01/11/2012,10:26:56,,322,134,,,,,0,,8640,1600,54,16,,,,,0,,,,,0,,,,69,306,30,,,2,,,,Test cutter speed = 2200
01/11/2012,10:26:57,,325,127,,,,,0,,8704,1400,54,16,,,,,0,,,,,0,,,,69,306,30,,,,,,,Test cutter speed = 1600
01/11/2012,10:26:58,,321,119,,,,,0,,8704,1400,54,16,,,,,0,,,,,0,,27,,69,306,30,,,,,,,Test cutter speed = 1400
01/11/2012,10:26:58,,328,100,,,,,0,,8704,400,73,16,,,,,0,,,,,0,,,,69,306,30,,,,,,,Test cutter speed = 1400
01/11/2012,10:26:59,,319,89,,,,,0,,8704,0,0,8,11,,,,0,,,,,0,,,21,70,318,30,,,,,,,Test cutter speed = 400
01/11/2012,10:26:59,,322,81,,,,,0,,,,,0,,,,,0,,,,,0,,,,69,318,30,,,,9,,,Test cutter speed = 0
01/11/2012,10:29:57,,319,77,,,,,0,,,,,0,,,,,0,,,,,0,,,19,68,318,30,,,,,,,
01/11/2012,10:29:58,,317,77,,,,,0,,,,,0,,,,,0,,,,,0,,,,69,318,30,,,,14,,,
01/11/2012,10:29:58,M2 speed 6800,310,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2012,10:29:58,,,,,,,,0,,,,,0,,,,,0,,,,,0,,27,,70,314,30,,,,,,,
01/11/2012,10:29:59,,319,77,,,,,0,,,,,0,,,,,0,,,,,0,,,19,69,318,30,,,,,,,
01/11/2012,10:30:00,,320,79,,,,,0,,8704,400,0,16,,,,,0,,,,,0,,,,69,318,30,,,,,,,Test cutter speed = 0
